Domain,Pop,Elevation,Year,BodyTemp,SubsTemp,AirTemp,Weight,horario
Green,NvaLib,721,2017,22.5,NA,NA,NA,night
Green,NvaLib,721,2017,22.2,22.9,22,NA,night
Green,NvaLib,721,2017,22.7,23.2,22.5,2.05,night
Green,NvaLib,717,2017,22,22.4,21.9,2.16,night
Green,NvaLib,717,2017,22.2,22.4,22,0.98,night
Green,NvaLib,713,2017,21.9,22.3,22.2,5.75,night
Green,NvaLib,713,2017,21.9,21.8,21.6,3.02,night
Green,NvaLib,688,2017,22.5,22.8,22.4,3.04,night
Green,NvaLib,723,2017,22.4,22.9,22.4,3.57,night
Green,NvaLib,727,2017,21.7,21.7,21.6,4.2,night
Green,NvaLib,747,2017,23.4,22,21.9,4.14,night
Green,NvaLib,729,2017,22,22.2,22.3,6.74,night
Yellow,LaLoma,1303,2017,19.4,19.1,18.9,0.45,night
Yellow,LaLoma,1303,2017,19,19.2,19.1,1.15,night
Yellow,LaLoma,1303,2017,18.7,18.7,18.6,1.71,night
Yellow,LaLoma,1304,2017,19.5,19.5,19.2,1.82,night
Yellow,LaLoma,1304,2017,19.7,19.9,19.5,1.51,night
Yellow,LaLoma,1304,2017,20.1,19.8,19.4,1.61,night
Yellow,LaLoma,1304,2017,19.4,20,20.2,2.59,night
Yellow,LaLoma,1300,2017,19.3,19.6,19.2,1.53,night
Yellow,LaLoma,1300,2017,19.3,19.6,19,1,night
Yellow,LaLoma,1296,2017,18.6,19.5,19.5,NA,night
Yellow,LaLoma,1300,2017,18.5,19.5,18.3,1.68,night
Yellow,LaLoma,1309,2017,17.7,18.8,17.3,1.94,night
Yellow,LaLoma,1305,2017,18.1,18.8,17.5,1.11,night
Yellow,LaLoma,1310,2017,17.7,17.8,17.6,NA,night
Yellow,LaLoma,1310,2017,17.7,NA,NA,NA,night
Orange,ArrNeg,1083,2017,20.2,20.4,20.3,0.47,night
Orange,ArrNeg,1093,2017,20.1,20.3,20.1,3.92,night
Orange,ArrNeg,1083,2017,20.6,20.8,20.6,1.56,night
Orange,ArrNeg,1093,2017,19.9,20.1,20.2,NA,night
Orange,ArrNeg,1009,2017,19.3,19.3,19.3,NA,night
Orange,ArrNeg,1075,2017,19.2,19.3,19.2,1.15,night
Orange,ArrNeg,1076,2017,20.3,19.6,19.1,1.36,night
Orange,ArrNeg,1071,2017,21,19.9,19.9,1.28,night
Blue,AmpLag,2128,2017,16,16.5,16.3,0.75,night
Blue,AmpLag,2116,2017,15.3,15.3,14.8,0.87,night
Blue,AmpLag,2115,2017,14.9,16,15.1,1.88,night
Blue,AmpLag,2115,2017,15.2,15.3,15,0.51,night
Blue,AmpLag,2206,2017,NA,NA,NA,0.58,night
Blue,AmpLag,2110,2017,15.3,14.8,14.7,0.6,night
Green,NvaLib,790,2017,22.8,23,22.9,NA,night
Green,NvaLib,813,2017,23.2,23.3,23.3,1.34,night
Green,NvaLib,813,2017,22.7,23.1,23.1,0.48,night
Green,NvaLib,995,2017,19.9,21,22.2,NA,night
Green,NvaLib,971,2017,20.3,21.2,20.3,5.04,night
Green,NvaLib,974,2017,21.2,21.2,21.2,NA,night
Yellow,CINvaLib,1194,2017,19.4,19.1,19.5,4.78,night
Yellow,CINvaLib,1048,2017,19.8,19.9,19.4,4.11,night
Yellow,CINvaLib,1042,2017,20.4,20.4,20.5,NA,night
Yellow,CINvaLib,986,2017,22.8,22.3,22,NA,night
Yellow,CINvaLib,1227,2017,NA,NA,NA,2.19,night
Yellow,CINvaLib,1151,2017,20.8,20.3,20.2,NA,night
Yellow,CINvaLib,1150,2017,NA,20.2,20,4.72,night
Yellow,CINvaLib,1150,2017,20.1,20.2,20.1,1.79,night
Yellow,CINvaLib,1150,2017,NA,20.7,20.6,4.1,night
Yellow,CINvaLib,1168,2017,20.6,20.6,20.5,1.58,night
Yellow,CINvaLib,1168,2017,NA,21,20.9,NA,night
Yellow,CINvaLib,1168,2017,20.8,20.5,20.3,1.72,night
Yellow,CINvaLib,1173,2017,20.9,20.9,21,NA,night
Yellow,CINvaLib,1176,2017,20.5,20.8,20.9,0.21,night
Yellow,CINvaLib,1207,2017,NA,20.1,20,1.75,night
Yellow,NBI,1170,2017,18.9,19,19.2,NA,night
Yellow,NBI,1186,2017,NA,19.8,18.3,NA,night
Yellow,NBI,1142,2017,21.7,21.5,21.2,0.37,night
Yellow,NBI,1181,2017,21.3,21.3,21.2,3.38,night
Yellow,NBI,1184,2017,21.6,21.8,21.5,3.51,night
Yellow,NBI,1136,2017,20.6,20.9,20.8,0.43,night
Yellow,NBI,1116,2017,20.2,20.1,20,0.37,night
Yellow,NBI,1082,2017,20.6,20.6,20.3,0.28,night
Yellow,NBI,1074,2017,20.1,20.2,19.9,0.15,night
Yellow,NBI,1074,2017,20.5,20.5,22,NA,night
Yellow,NBI,1078,2017,20.7,20.9,20,0.28,night
Yellow,NBI,1076,2017,21.4,20.7,20.8,0.39,night
Orange,PlanLib,868,2017,20.9,21.8,20.6,1.32,night
Orange,PlanLib,868,2017,20.9,21.8,20.6,4.4,night
Orange,PlanLib,921,2017,20.9,20.8,20.5,1.15,night
Orange,PlanLib,928,2017,21,21.1,20.7,1.4,night
Orange,PlanLib,930,2017,19.3,19.4,19.4,1.6,night
Orange,PlanLib,927,2017,19.5,21.3,21,1.4,night
Orange,PlanLib,922,2017,19.2,19.2,19.2,1.86,night
Orange,PlanLib,909,2017,19.4,19.3,19.2,1.27,night
Orange,PlanLib,916,2017,19.8,19.6,19.6,1.34,night
Orange,PlanLib,922,2017,20.3,19.4,19.3,1.24,night
Orange,PlanLib,924,2017,19.6,20.9,19.6,1.38,night
Blue,AmpLag,2036,2017,15.2,15.1,15,1.47,night
Blue,AmpLag,2007,2017,14.7,15,14.7,0.77,night
Blue,AmpLag,2083,2017,14.4,14.2,14,1.41,night
Blue,AmpLag,2083,2017,14.3,14.4,14.2,1.85,night
Blue,AmpLag,2082,2017,14.2,14.3,14.3,0.7,night
Blue,AmpLag,2125,2017,14.6,14.3,14.2,0.56,night
Blue,AmpLag,2126,2017,14.6,14.8,14.5,0.71,night
Blue,AmpLag,2123,2017,14.5,14.5,14.3,0.42,night
Blue,AmpLag,2122,2017,14.5,14.5,14.3,0.92,night
Blue,AmpLag,2122,2017,14.6,14.6,14.5,NA,night
Blue,AmpLag,2119,2017,14.8,14.8,14.6,0.57,night
Blue,AmpLag,2125,2017,14.6,14.9,14.8,0.76,night
Blue,AmpLag,2125,2017,14.9,14.9,14.6,1.28,night
Blue,AmpLag,2125,2017,14.6,14.8,14.4,0.63,night
Blue,AmpLag,2103,2017,14.3,14.3,14.9,0.61,night
Blue,AmpLag,2131,2017,14.7,14.8,14.6,2.02,night
Blue,AmpLag,2130,2017,14.5,14.5,14.3,2.13,night
